['USID', 'cluster_algo', 'cluster_number']
['USID', 'cluster_algo', 'cluster_number']
[8259001846, 'KMeans', 2]
[8259001847, 'KMeans', 2]
[8259001848, 'KMeans', 2]
[8259001849, 'KMeans', 2]
[8381000016, 'KMeans', 2]
[8385000135, 'KMeans', 2]
[8386000189, 'KMeans', 2]
[8386000190, 'KMeans', 2]
[8386000191, 'KMeans', 2]
[8390000611, 'KMeans', 2]
[8390000613, 'KMeans', 2]
[8390000614, 'KMeans', 2]
[8390000615, 'KMeans', 2]
[8390000616, 'KMeans', 2]
[8390000617, 'KMeans', 2]
[8390000618, 'KMeans', 2]
[8390000619, 'KMeans', 2]
[8390000620, 'KMeans', 2]
[8390000621, 'KMeans', 2]
[8390000622, 'KMeans', 2]
[8390000623, 'KMeans', 2]
[8390000624, 'KMeans', 2]
[8390000625, 'KMeans', 2]
[8390000626, 'KMeans', 2]
[8390000627, 'KMeans', 2]
[8390000628, 'KMeans', 2]
[8390000629, 'KMeans', 2]
[8390000630, 'KMeans', 2]
[8390000631, 'KMeans', 2]
[8390000632, 'KMeans', 2]
[8390000633, 'KMeans', 2]
[8390000634, 'KMeans', 2]
[8390000635, 'KMeans', 2]
[8390000636, 'KMeans', 2]
[8390000637, 'KMeans', 2]
[8390000638, 'KMeans', 2]
[8390000639, 'KMeans', 2]
[8390000640, 'KMeans', 2]
[8390000641, 'KMeans', 2]
[8390000642, 'KMeans', 2]
[8390000643, 'KMeans', 2]
[8390000644, 'KMeans', 2]
[8390000645, 'KMeans', 2]
[8390000646, 'KMeans', 2]
[8390000647, 'KMeans', 2]
[8390000648, 'KMeans', 2]
[8390000649, 'KMeans', 2]
[8390000650, 'KMeans', 2]
[8390000651, 'KMeans', 2]
[8390000652, 'KMeans', 2]
[8390000653, 'KMeans', 2]
[8390000654, 'KMeans', 2]
[8390000655, 'KMeans', 2]
[8390000656, 'KMeans', 2]
[8390000657, 'KMeans', 2]
[8390000658, 'KMeans', 2]
[8390000659, 'KMeans', 2]
[8390000660, 'KMeans', 2]
[8390000661, 'KMeans', 2]
[8390000662, 'KMeans', 2]
[8390000663, 'KMeans', 2]
[8390000664, 'KMeans', 2]
[8390000665, 'KMeans', 2]
[8390000666, 'KMeans', 2]
[8390000667, 'KMeans', 2]
[8390000668, 'KMeans', 2]
[8390000669, 'KMeans', 2]
[8390000670, 'KMeans', 2]
[8390000671, 'KMeans', 2]
[8390000672, 'KMeans', 2]
[8390000673, 'KMeans', 2]
[8390000674, 'KMeans', 2]
[8390000675, 'KMeans', 2]
[8390000676, 'KMeans', 2]
[8390000677, 'KMeans', 2]
[8390000678, 'KMeans', 2]
[8390000679, 'KMeans', 2]
[8390000680, 'KMeans', 2]
[8390000681, 'KMeans', 2]
[8390000682, 'KMeans', 2]
[8390000683, 'KMeans', 2]
[8390000684, 'KMeans', 2]
[8390000685, 'KMeans', 2]
[8390000686, 'KMeans', 2]
[8390000687, 'KMeans', 2]
[8390000688, 'KMeans', 2]
[8390000689, 'KMeans', 2]
[8390000690, 'KMeans', 2]
[8390000691, 'KMeans', 2]
[8390000692, 'KMeans', 2]
[8390000693, 'KMeans', 2]
[8390000694, 'KMeans', 2]
[8390000695, 'KMeans', 2]
[8390000696, 'KMeans', 2]
[8390000697, 'KMeans', 2]
[8390000698, 'KMeans', 2]
[8390000699, 'KMeans', 2]
[8390000700, 'KMeans', 2]
[8390000701, 'KMeans', 2]
[8390000702, 'KMeans', 2]
[8390000703, 'KMeans', 2]
[8390000704, 'KMeans', 2]
[8390000705, 'KMeans', 2]
[8390000706, 'KMeans', 2]
[8390000707, 'KMeans', 2]
[8390000708, 'KMeans', 2]
[8390000709, 'KMeans', 2]
[8390000710, 'KMeans', 2]
[8447000062, 'KMeans', 2]
[8447000215, 'KMeans', 2]
[8447000216, 'KMeans', 2]
[8447000325, 'KMeans', 2]
[8447000326, 'KMeans', 2]
[8447000327, 'KMeans', 2]
[8447000367, 'KMeans', 2]
[8447000392, 'KMeans', 2]
[8448000021, 'KMeans', 2]
[8448000022, 'KMeans', 2]
[8448000023, 'KMeans', 2]
[8448000024, 'KMeans', 2]
[8448000025, 'KMeans', 2]
[8448000026, 'KMeans', 2]
[8448000027, 'KMeans', 2]
[8451000032, 'KMeans', 2]
[8451000033, 'KMeans', 2]
[8451000034, 'KMeans', 2]
[8451000041, 'KMeans', 2]
[8451000042, 'KMeans', 2]
[8451000072, 'KMeans', 2]
[8451000073, 'KMeans', 2]
[8451000074, 'KMeans', 2]
[8451000081, 'KMeans', 2]
[8456000004, 'KMeans', 2]
[8456000005, 'KMeans', 2]
[8456000006, 'KMeans', 2]
[8456000007, 'KMeans', 2]
[8456000008, 'KMeans', 2]
[8456000009, 'KMeans', 2]
[8456000010, 'KMeans', 2]
[8456000011, 'KMeans', 2]
[8456000012, 'KMeans', 2]
[8456000013, 'KMeans', 2]
[8456000014, 'KMeans', 2]
[8456000015, 'KMeans', 2]
[8456000016, 'KMeans', 2]
[8456000017, 'KMeans', 2]
[8456000018, 'KMeans', 2]
[8456000019, 'KMeans', 2]
[8456000020, 'KMeans', 2]
[8456000021, 'KMeans', 2]
[8456000022, 'KMeans', 2]
[8456000023, 'KMeans', 2]
[8456000024, 'KMeans', 2]
[8456000025, 'KMeans', 2]
[8456000026, 'KMeans', 2]
[8456000027, 'KMeans', 2]
[8456000028, 'KMeans', 2]
[8456000029, 'KMeans', 2]
[8456000030, 'KMeans', 2]
[8456000031, 'KMeans', 2]
[8456000032, 'KMeans', 2]
[8456000033, 'KMeans', 2]
[8456000034, 'KMeans', 2]
[8456000035, 'KMeans', 2]
[8456000036, 'KMeans', 2]
[8456000037, 'KMeans', 2]
[8456000038, 'KMeans', 2]
[8456000039, 'KMeans', 2]
[8456000040, 'KMeans', 2]
[8456000041, 'KMeans', 2]
[8456000042, 'KMeans', 2]
[8456000043, 'KMeans', 2]
